Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7837764064,6690100160,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,3827954069,2887237656,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2503968675,1751504078,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2417270451,1590949224,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2089239115,1342107113,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3057529962,2047257215,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5297481384,3993724926,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,12158327110,10430487221,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27629801982,25635588967,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,70108537306,67973800799,216
Lookahead (1),171677,164352,14091,0,10034,4057,17207418381,15941365925,8114
Lookahead (2),171677,164352,14091,0,12099,1992,12860941067,11638131490,5976
Lookahead (3),171677,164352,14091,0,12883,1208,10598760188,9394367256,4832
Lookahead (4),171677,164352,14091,0,13283,808,10198397235,8924171373,4040
Lookahead (5),171677,164352,14091,0,13503,588,9232315934,7941331924,3528
Lookahead (10),171677,164352,14091,0,13917,174,5658687783,4370911438,1914
Lookahead (20),171677,164352,14091,0,14037,54,4583378255,3013260761,1134
Lookahead (30),171677,164352,14091,0,14069,22,3347074409,1784289892,682
Lookahead (40),171677,164352,14091,0,14077,14,3669196981,1742045840,574
Lookahead (50),171677,164352,14091,0,14081,10,3733121099,1639480507,510
Lookahead (60),171677,164352,14091,0,14085,6,3479834459,1252831367,366
Lookahead (70),171677,164352,14091,0,14085,6,4774487158,1591120343,426
Lookahead (80),171677,164352,14091,0,14087,4,5416779985,1577386548,324
Lookahead (90),171677,164352,14091,0,14088,3,4785972211,1324962341,273
Lookahead (100),171677,164352,14091,0,14088,3,5844880913,1586790948,303
Null Prefetcher,171677,164352,14091,0,5109,8982,18704669573,17845264084,8982
Block (1),171677,164352,14091,0,5109,8982,488368041251,486724275726,8982
Block (10),171677,164352,14091,0,5110,8981,491262742376,489610795602,8981
Block (50),171677,164352,14091,0,5118,8973,479792701250,478224739587,8973
Block (100),171677,164352,14091,0,5160,8931,479723197459,478087388758,8931
Block (250),171677,164352,14091,0,5600,8491,459471672201,457836497689,8491
Block (500),171677,164352,14091,0,6768,7323,399229872431,397785091464,7323
Block (1000),171677,164352,14091,0,10431,3660,196533146285,195413250195,3660
Block (5000),171677,164352,14091,0,13770,321,18819573992,17212929772,321
Block (10000),171677,164352,14091,0,13990,101,12676082240,8500666113,101
Block (20000),171677,164352,14091,0,14059,32,15629234218,2949681026,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7111673351,6055462462,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4054068457,3069212390,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2898196974,2037196997,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2259705006,1419412867,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2576920612,1618977338,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3008672537,2070582527,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5030185718,3971084043,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11642951163,9906702598,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27931462669,26092647244,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,70784473124,68622252024,216
Lookahead (1),171677,164352,14091,0,10034,4057,17040531567,15811944188,8114
Lookahead (2),171677,164352,14091,0,12099,1992,12878531070,11695774513,5976
Lookahead (3),171677,164352,14091,0,12883,1208,10860756466,9631244993,4832
Lookahead (4),171677,164352,14091,0,13283,808,9479624365,8242226560,4040
Lookahead (5),171677,164352,14091,0,13503,588,9082994122,7767481983,3528
Lookahead (10),171677,164352,14091,0,13917,174,5407578941,4145892479,1914
Lookahead (20),171677,164352,14091,0,14037,54,4336105627,2818857692,1134
